信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点1-W2(温和),36.5,2026-05-15,61.8,,,65.04,,2.16,,1,sh.603757,大元泵业,6.88,8.26,90.5,274,+5.2%,1.26,0.1247,大阴线,2
买点1-W2(缩量),52.0,2026-05-15,21.75,,,22.45,,5.68,,1,sh.603776,永安行,3.76,4.51,70.6,430,+3.2%,0.54,0.0979,大阴线,5
买点1-W2(温和),40.4,2026-05-15,15.01,,,15.41,,3.45,,1,sh.603916,苏博特,6.46,7.75,87.1,218,+2.7%,0.86,0.1922,是,3
买点1-W2(温和),37.3,2026-05-15,247.98,,,271.83,,2.43,,1,sh.688008,澜起科技,7.63,9.16,95.8,135,+9.6%,0.83,0.1793,大阴线,1
买点1-W2(温和),37.7,2026-05-15,305.5,,,342.0,,2.55,,1,sh.688017,绿的谐波,6.5,7.8,96.2,126,+11.9%,1.24,0.1616,大阴线,1
买点1-W2(温和),36.1,2026-05-15,95.5,,,104.29,,2.03,,1,sh.688127,蓝特光学,6.36,7.63,99.3,204,+9.2%,0.97,0.1264,大阴线,1
买点1-W2(温和),36.9,2026-05-15,234.67,,,250.19,,2.29,,1,sh.688279,峰岹科技,5.78,6.94,83.8,332,+6.6%,1.04,0.0902,是,4
买点1-W2(缩量),52.0,2026-05-15,122.3,,,134.85,,4.11,,1,sh.688300,联瑞新材,7.4,8.88,96.8,39,+10.3%,0.78,0.2971,大阴线,1
买点1-W1(下周一入场),37.3,2026-05-22,176.71,,,176.71,,2.42,,0,sh.688301,奕瑞科技,5.63,6.76,89.7,21,+0.0%,,0.2506,是,
买点1-W2(温和),36.7,2026-05-15,65.5,,,69.32,,2.24,,1,sh.688328,深科达,8.44,10.13,97.6,270,+5.8%,0.98,0.1179,大阴线,1
