信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-05-15,30.47,27.2,10.7%,36.44,+34.0%,0.66,4.0,5,sh.603211,晋拓股份,6.15,7.38,91.7,109,,,,,2
买点1-W1(下周一入场),42.0,2026-06-18,44.77,,,44.77,,4.94,,0,sh.603261,立航科技,4.31,5.17,93.1,98,+0.0%,,0.2618,是,
买点2,5.0,2026-05-22,23.1,21.57,6.6%,24.28,+12.6%,1.27,3.0,4,sh.603269,海鸥股份,7.15,8.58,92.7,556,,,,,2
买点2,5.0,2026-05-22,51.24,48.18,6.0%,62.6,+29.9%,1.23,3.0,4,sh.603283,赛腾股份,5.9,7.08,93.2,164,,,,,2
买点2,5.0,2026-05-22,53.38,42.8,19.8%,54.43,+27.2%,0.94,3.0,4,sh.603285,键邦股份,5.69,6.83,95.2,193,,,,,1
买点2,5.0,2026-05-29,23.98,21.44,10.6%,28.65,+33.6%,1.11,2.0,3,sh.603936,博敏电子,6.6,7.92,96.5,106,,,,,1
买点2,5.0,2026-05-29,66.61,59.57,10.6%,74.3,+24.7%,1.11,2.0,3,sh.605111,新洁能,6.06,7.27,95.2,394,,,,,1
买点1-W1(下周一入场),40.4,2026-06-18,81.7,,,81.7,,3.48,,0,sh.605198,安德利,6.01,7.21,95.1,33,+0.0%,,0.2608,大阴线,
买点1-W2(缩量),52.0,2026-06-12,130.01,,,132.09,,4.26,,1,sh.605318,法狮龙,7.14,8.57,96.0,50,+1.6%,0.77,0.3229,是,1
买点2,5.0,2026-05-22,314.92,276.0,12.4%,360.0,+30.4%,0.84,3.0,4,sh.688012,中微公司,5.58,6.7,93.7,215,,,,,2
买点2,5.0,2026-05-22,288.74,245.3,15.0%,293.05,+19.5%,0.85,3.0,4,sh.688037,芯源微,7.06,8.47,95.0,512,,,,,1
买点2,5.0,2026-05-22,71.71,63.86,10.9%,79.05,+23.8%,1.25,3.0,4,sh.688045,必易微,5.98,7.18,94.2,321,,,,,2
买点2,5.0,2026-05-29,256.82,234.49,8.7%,266.6,+13.7%,0.76,2.0,3,sh.688052,纳芯微,5.98,7.18,91.0,762,,,,,2
买点2,5.0,2026-05-22,41.39,36.25,12.4%,47.8,+31.9%,1.08,3.0,4,sh.688061,灿瑞科技,5.53,6.64,87.3,112,,,,,2
买点1-W2(温和),37.0,2026-06-12,35.32,,,39.26,,2.34,,1,sh.688138,清溢光电,7.03,8.44,84.0,198,+11.2%,1.07,0.1055,大阴线,2
买点2,5.0,2026-05-29,72.27,64.89,10.2%,75.01,+15.6%,1.11,2.0,3,sh.688172,燕东微,8.65,10.38,97.2,920,,,,,2
买点2,5.0,2026-05-22,39.25,34.92,11.0%,44.6,+27.7%,1.37,3.0,4,sh.688182,灿勤科技,5.35,6.42,89.8,157,,,,,2
买点2,5.0,2026-05-22,30.24,26.53,12.3%,30.81,+16.1%,0.77,3.0,4,sh.688199,久日新材,4.89,5.87,78.8,424,,,,,5
买点2,5.0,2026-05-29,236.68,218.37,7.7%,277.81,+27.2%,0.89,2.0,3,sh.688347,华虹宏力,8.29,9.95,97.4,482,,,,,1
买点2,5.0,2026-05-22,245.45,199.98,18.5%,252.21,+26.1%,0.89,3.0,4,sh.688361,中科飞测,5.99,7.19,89.2,324,,,,,3
买点2,5.0,2026-05-29,64.05,57.6,10.1%,72.5,+25.9%,0.94,2.0,3,sh.688362,甬矽电子,8.37,10.04,95.2,451,,,,,1
买点2,5.0,2026-05-22,164.57,145.77,11.4%,165.2,+13.3%,0.9,3.0,4,sh.688372,伟测科技,5.63,6.76,89.8,776,,,,,3
买点2,5.0,2026-05-29,44.92,38.33,14.7%,48.0,+25.2%,1.01,2.0,3,sh.688381,帝奥微,8.46,10.15,94.0,370,,,,,2
买点2,5.0,2026-05-29,79.06,73.02,7.6%,81.12,+11.1%,1.02,2.0,3,sh.688401,路维光电,7.71,9.25,87.7,562,,,,,3
买点2,5.0,2026-05-22,60.44,46.8,22.6%,69.25,+48.0%,1.34,3.0,4,sh.688419,耐科装备,6.73,8.08,96.8,51,,,,,1
买点2,5.0,2026-05-22,134.0,114.8,14.3%,152.9,+33.2%,0.92,3.0,4,sh.688535,华海诚科,7.35,8.82,94.7,147,,,,,2
买点2,5.0,2026-05-15,68.69,54.08,21.3%,70.0,+29.4%,0.87,4.0,5,sh.688551,科威尔,10.2,12.24,96.3,212,,,,,1
买点2,5.0,2026-05-29,141.94,134.96,4.9%,158.0,+17.1%,0.83,2.0,3,sh.688629,华丰科技,6.69,8.03,93.4,506,,,,,2
买点2,5.0,2026-05-22,154.27,124.5,19.3%,158.68,+27.5%,1.39,3.0,4,sh.688686,奥普特,6.27,7.52,85.3,410,,,,,3
买点2,5.0,2026-05-29,39.79,37.09,6.8%,44.04,+18.7%,1.09,2.0,3,sz.000021,深科技,6.45,7.74,92.5,581,,,,,2
买点2,5.0,2026-05-15,28.91,23.09,20.1%,29.23,+26.6%,1.0,4.0,5,sz.000029,深深房A,5.25,6.3,81.0,199,,,,,2
买点2,5.0,2026-05-22,18.15,16.23,10.6%,18.71,+15.3%,1.7,3.0,4,sz.000672,上峰材料,4.97,5.96,90.5,412,,,,,2
买点2,5.0,2026-06-05,9.09,8.5,6.5%,9.33,+9.8%,1.08,1.0,2,sz.002072,凯瑞德,7.09,8.51,81.4,1136,,,,,4
买点2,5.0,2026-06-05,13.52,12.16,10.1%,14.07,+15.7%,0.97,1.0,2,sz.002106,莱宝高科,6.69,8.03,81.7,637,,,,,4
买点2,5.0,2026-05-15,29.97,26.56,11.4%,30.32,+14.2%,0.62,4.0,5,sz.002134,天津普林,6.04,7.25,80.7,491,,,,,4
买点1-W1(下周一入场),36.5,2026-06-18,25.52,,,25.52,,2.17,,0,sz.002203,海亮股份,6.41,7.69,95.1,121,+0.0%,,0.0887,大幅回吐/大阴线,
买点1-W2(缩量),49.3,2026-06-12,18.06,,,18.7,,3.1,,1,sz.002254,泰和新材,7.73,9.28,92.8,103,+3.5%,0.73,0.1629,大幅回吐/大阴线,2
买点2,5.0,2026-05-22,18.94,17.88,5.6%,19.52,+9.2%,1.38,3.0,4,sz.002577,雷柏科技,4.33,5.2,69.0,704,,,,,5
买点1-W2(温和),36.6,2026-06-12,16.0,,,17.9,,2.21,,1,sz.002674,兴业科技,5.95,7.14,83.4,273,+11.9%,1.18,0.0855,大阴线,3
买点2,5.0,2026-06-05,19.78,17.11,13.5%,21.51,+25.7%,1.06,1.0,2,sz.002806,华锋股份,8.24,9.89,91.6,1111,,,,,2
买点1-W1(下周一入场),36.2,2026-06-18,26.88,,,26.88,,2.07,,0,sz.002805,丰元股份,4.76,5.71,88.8,116,+0.0%,,0.2655,是,
买点2,5.0,2026-05-15,22.52,20.93,7.1%,23.9,+14.2%,0.92,4.0,5,sz.002803,吉宏股份,4.72,5.66,86.6,580,,,,,3
买点2,5.0,2026-05-29,28.63,27.4,4.3%,32.19,+17.5%,1.34,2.0,3,sz.002886,沃特股份,6.02,7.22,89.5,472,,,,,3
买点2,5.0,2026-06-05,91.45,78.98,13.6%,96.8,+22.6%,0.7,1.0,2,sz.002897,意华股份,7.88,9.46,94.3,1530,,,,,3
买点2,5.0,2026-05-29,411.41,373.0,9.3%,453.8,+21.7%,1.03,2.0,3,sz.002916,深南电路,6.79,8.15,95.0,434,,,,,1
买点2,5.0,2026-05-22,67.62,64.47,4.7%,68.47,+6.2%,0.95,3.0,4,sz.002993,奥海科技,6.89,8.27,89.3,721,,,,,3
买点2,5.0,2026-05-15,160.6,141.9,11.6%,176.29,+24.2%,1.31,4.0,5,sz.003031,中瓷电子,5.53,6.64,96.6,299,,,,,1
买点2,5.0,2026-06-05,82.35,82.16,0.2%,98.8,+20.3%,0.96,1.0,2,sz.003036,泰坦股份,7.59,9.11,99.9,110,,,,,1
买点1-W1(下周一入场),39.4,2026-06-18,17.06,,,17.06,,3.14,,0,sz.300005,探路者,6.62,7.94,89.9,391,+0.0%,,0.1669,大阴线,
买点1-W1(下周一入场),36.7,2026-06-18,23.15,,,23.15,,2.25,,0,sz.300093,金刚光伏,7.67,9.2,86.8,1521,+0.0%,,0.1092,大阴线,
买点2,5.0,2026-06-05,47.5,39.71,16.4%,47.9,+20.6%,1.11,1.0,2,sz.300179,四方达,9.66,11.59,98.4,3335,,,,,5
买点2,5.0,2026-05-29,157.46,139.36,11.5%,186.05,+33.5%,0.97,2.0,3,sz.300223,北京君正,7.03,8.44,93.5,227,,,,,2
买点2,5.0,2026-05-22,98.42,91.18,7.4%,105.8,+16.0%,0.74,3.0,4,sz.300236,上海新阳,5.82,6.98,90.1,544,,,,,2
买点2,5.0,2026-06-05,1179.99,1149.0,2.6%,1367.88,+19.0%,0.73,1.0,2,sz.300308,中际旭创,5.74,6.89,96.2,869,,,,,2
买点2,5.0,2026-05-29,107.12,96.68,9.7%,123.13,+27.4%,1.3,2.0,3,sz.300373,扬杰科技,7.41,8.89,92.8,401,,,,,2
买点2,5.0,2026-06-05,134.83,126.5,6.2%,157.89,+24.8%,1.11,1.0,2,sz.300408,三环集团,8.62,10.34,98.8,490,,,,,1
买点1-W3(温和),29.2,2026-06-05,6.07,,,7.49,,3.07,,2,sz.300420,五洋自控,8.33,10.0,92.5,105,+23.4%,1.01,0.3519,是,
买点2,5.0,2026-05-15,49.53,41.48,16.3%,58.69,+41.5%,0.8,4.0,5,sz.300508,维宏股份,6.8,8.16,90.4,95,,,,,1
买点2,5.0,2026-06-05,18.2,17.46,4.1%,18.75,+7.4%,1.07,1.0,2,sz.300560,中富通,7.29,8.75,67.5,1094,,,,,5
买点2,5.0,2026-05-29,35.39,33.65,4.9%,37.05,+10.1%,0.92,2.0,3,sz.300593,新雷能,7.81,9.37,84.7,1197,,,,,4
买点2,5.0,2026-05-29,45.3,40.79,10.0%,49.52,+21.4%,1.17,2.0,3,sz.300602,飞荣达,5.99,7.19,91.2,384,,,,,2
买点2,5.0,2026-05-22,236.02,206.73,12.4%,264.1,+27.8%,0.75,3.0,4,sz.300604,长川科技,6.38,7.66,97.8,359,,,,,1
买点2,5.0,2026-05-22,63.68,58.35,8.4%,68.61,+17.6%,1.46,3.0,4,sz.300613,富瀚微,4.81,5.77,86.8,430,,,,,3
买点1-W2(温和),36.1,2026-06-12,35.89,,,38.8,,2.04,,1,sz.300656,民德电子,8.16,9.79,92.4,213,+8.1%,0.82,0.166,大阴线,2
买点2,5.0,2026-05-29,117.77,107.74,8.5%,132.77,+23.2%,1.11,2.0,3,sz.300661,圣邦股份,6.22,7.46,93.7,383,,,,,2
买点2,5.0,2026-05-15,59.25,51.43,13.2%,63.0,+22.5%,1.18,4.0,5,sz.300689,澄天伟业,5.83,7.0,85.7,231,,,,,3
买点2,5.0,2026-06-05,648.98,600.0,7.5%,666.0,+11.0%,0.98,1.0,2,sz.300757,罗博特科,6.53,7.84,98.2,2339,,,,,5
买点1-W2(缩量),46.9,2026-06-12,20.76,,,21.2,,2.29,,1,sz.300786,国林科技,5.73,6.88,82.8,297,+2.1%,0.71,0.1702,是,3
买点2,5.0,2026-05-22,67.86,64.89,4.4%,73.09,+12.6%,0.83,3.0,4,sz.300820,英杰电气,6.51,7.81,87.0,778,,,,,3
买点2,5.0,2026-05-29,53.29,50.75,4.8%,62.28,+22.7%,1.4,2.0,3,sz.300852,四会富仕,6.09,7.31,90.5,285,,,,,2
买点2,5.0,2026-06-05,121.43,113.0,6.9%,145.75,+29.0%,1.0,1.0,2,sz.300868,杰美特,8.36,10.03,99.7,525,,,,,1
买点1-W2(缩量),47.3,2026-06-12,31.29,,,33.55,,2.44,,1,sz.300985,致远新能,6.95,8.34,92.1,80,+7.2%,0.69,0.2166,是,1
买点2,5.0,2026-05-22,58.87,52.52,10.8%,64.36,+22.5%,1.41,3.0,4,sz.301045,天禄科技,5.97,7.16,95.8,250,,,,,1
买点2,5.0,2026-05-15,261.72,213.5,18.4%,262.36,+22.9%,1.09,4.0,5,sz.301183,东田微,7.46,8.95,87.7,411,,,,,3
买点2,5.0,2026-05-22,92.87,78.08,15.9%,101.0,+29.4%,0.95,3.0,4,sz.301182,凯旺科技,7.08,8.5,97.8,347,,,,,1
买点2,5.0,2026-05-29,279.0,277.0,0.7%,337.0,+21.7%,1.11,2.0,3,sz.301200,大族数控,6.55,7.86,97.8,537,,,,,1
买点2,5.0,2026-06-05,337.74,303.93,10.0%,361.02,+18.8%,0.84,1.0,2,sz.301205,联特科技,8.48,10.18,96.3,740,,,,,2
买点2,5.0,2026-05-15,120.46,105.96,12.0%,135.3,+27.7%,1.61,4.0,5,sz.301285,鸿日达,5.0,6.0,93.1,322,,,,,2
买点2,5.0,2026-05-22,59.93,58.28,2.8%,65.88,+13.0%,1.08,3.0,4,sz.301307,美利信,7.03,8.44,91.6,681,,,,,2
买点2,5.0,2026-05-29,33.61,31.11,7.4%,39.39,+26.6%,0.92,2.0,3,sz.301321,翰博高新,7.19,8.63,95.4,131,,,,,1
买点2,5.0,2026-05-29,63.84,56.27,11.9%,64.63,+14.9%,1.4,2.0,3,sz.301349,信德新材,6.32,7.58,93.3,642,,,,,2
买点2,5.0,2026-05-22,189.28,177.8,6.1%,221.2,+24.4%,1.39,3.0,4,sz.301369,联动科技,5.94,7.13,97.2,406,,,,,1
买点2,5.0,2026-05-22,202.3,164.16,18.9%,210.61,+28.3%,1.72,3.0,4,sz.301392,汇成真空,6.67,8.0,85.6,218,,,,,3
