信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-06-05,13.52,12.16,10.1%,14.07,+15.7%,0.97,1.0,2,sz.002106,莱宝高科,6.69,8.03,81.6,635,,,,,4
买点1-W2(温和),35.7,2026-06-12,31.96,,,34.51,,1.9,,1,sz.002119,康强电子,6.71,8.05,94.5,60,+8.0%,1.17,0.2872,是,1
买点2,5.0,2026-05-15,43.33,38.75,10.6%,46.82,+20.8%,1.28,3.0,4,sh.688689,银河微电,6.63,7.96,90.1,739,,,,,2
买点1-W3(温和),26.1,2026-06-05,16.98,,,19.12,,2.02,,2,sz.002125,湘潭电化,7.36,8.83,85.6,343,+12.6%,1.4,0.1465,大阴线,
买点2,5.0,2026-05-15,29.97,26.56,11.4%,30.32,+14.2%,0.62,4.0,5,sz.002134,天津普林,6.04,7.25,80.6,490,,,,,4
买点2,5.0,2026-05-22,40.72,36.01,11.6%,40.78,+13.2%,1.16,3.0,4,sz.002179,中航光电,5.2,6.24,78.1,1112,,,,,5
买点1-W1(下周一入场),36.5,2026-06-18,25.52,,,25.52,,2.17,,0,sz.002203,海亮股份,6.41,7.69,95.0,121,+0.0%,,0.0887,大幅回吐/大阴线,
买点1-W2(缩量),49.3,2026-06-12,18.06,,,18.7,,3.1,,1,sz.002254,泰和新材,7.73,9.28,92.6,102,+3.5%,0.73,0.1629,大幅回吐/大阴线,2
买点2,5.0,2026-05-22,669.0,603.36,9.8%,721.04,+19.5%,0.82,3.0,4,sz.002371,北方华创,4.87,5.84,88.3,439,,,,,3
买点1-W2(温和),35.4,2026-06-12,132.99,,,150.16,,1.81,,1,sz.002409,雅克科技,6.39,7.67,93.8,159,+12.9%,0.81,0.1564,是,2
买点2,5.0,2026-05-22,18.94,17.88,5.6%,19.52,+9.2%,1.38,3.0,4,sz.002577,雷柏科技,4.33,5.2,69.0,702,,,,,5
买点2,5.0,2026-06-05,16.62,15.5,6.7%,17.73,+14.4%,0.81,1.0,2,sz.002669,康达新材,7.36,8.83,79.0,848,,,,,5
买点1-W2(温和),36.6,2026-06-12,16.0,,,17.9,,2.21,,1,sz.002674,兴业科技,5.95,7.14,83.3,271,+11.9%,1.18,0.0855,大阴线,3
买点2,5.0,2026-05-15,22.52,20.93,7.1%,23.9,+14.2%,0.92,4.0,5,sz.002803,吉宏股份,4.72,5.66,86.4,579,,,,,3
买点1-W1(下周一入场),36.2,2026-06-18,26.88,,,26.88,,2.07,,0,sz.002805,丰元股份,4.76,5.71,88.7,116,+0.0%,,0.2655,是,
买点2,5.0,2026-06-05,19.78,17.11,13.5%,21.51,+25.7%,1.06,1.0,2,sz.002806,华锋股份,8.24,9.89,91.5,1110,,,,,2
买点2,5.0,2026-06-05,17.77,17.15,3.5%,19.72,+15.0%,0.96,1.0,2,sz.002815,崇达技术,6.74,8.09,85.9,623,,,,,3
买点2,5.0,2026-05-29,28.63,27.4,4.3%,32.19,+17.5%,1.34,2.0,3,sz.002886,沃特股份,6.02,7.22,89.3,471,,,,,3
买点2,5.0,2026-06-05,91.45,78.98,13.6%,96.8,+22.6%,0.7,1.0,2,sz.002897,意华股份,7.88,9.46,94.1,1529,,,,,3
买点2,5.0,2026-05-29,411.41,373.0,9.3%,453.8,+21.7%,1.03,2.0,3,sz.002916,深南电路,6.79,8.15,94.9,433,,,,,2
买点2,5.0,2026-05-22,67.62,64.47,4.7%,68.47,+6.2%,0.95,3.0,4,sz.002993,奥海科技,6.89,8.27,89.1,719,,,,,3
买点2,5.0,2026-06-05,15.52,14.95,3.7%,15.67,+4.8%,1.15,1.0,2,sz.003013,地铁设计,4.08,4.9,70.1,1382,,,,,5
买点2,5.0,2026-05-22,25.42,24.38,4.1%,28.19,+15.6%,1.06,3.0,4,sz.003022,联泓新科,5.94,7.13,86.8,412,,,,,3
买点2,5.0,2026-05-15,160.6,141.9,11.6%,176.29,+24.2%,1.31,4.0,5,sz.003031,中瓷电子,5.53,6.64,96.5,297,,,,,1
买点2,5.0,2026-06-05,82.35,82.16,0.2%,98.8,+20.3%,0.96,1.0,2,sz.003036,泰坦股份,7.59,9.11,99.9,110,,,,,1
买点1-W1(下周一入场),39.4,2026-06-18,17.06,,,17.06,,3.14,,0,sz.300005,探路者,6.62,7.94,89.8,389,+0.0%,,0.1669,大阴线,
买点1-W1(下周一入场),36.7,2026-06-18,23.15,,,23.15,,2.25,,0,sz.300093,金刚光伏,7.67,9.2,86.7,1520,+0.0%,,0.1092,大阴线,
买点2,5.0,2026-06-05,47.5,39.71,16.4%,47.9,+20.6%,1.11,1.0,2,sz.300179,四方达,9.66,11.59,98.4,3335,,,,,5
买点2,5.0,2026-05-29,157.46,139.36,11.5%,186.05,+33.5%,0.97,2.0,3,sz.300223,北京君正,7.03,8.44,93.3,227,,,,,2
买点1-W2(温和),35.8,2026-06-12,10.8,,,11.05,,1.93,,1,sz.300234,开尔新材,6.44,7.73,94.4,135,+2.3%,0.89,0.2231,是,2
买点2,5.0,2026-05-22,98.42,91.18,7.4%,105.8,+16.0%,0.74,3.0,4,sz.300236,上海新阳,5.82,6.98,89.9,543,,,,,3
买点2,5.0,2026-06-05,1179.99,1149.0,2.6%,1367.88,+19.0%,0.73,1.0,2,sz.300308,中际旭创,5.74,6.89,96.1,867,,,,,2
买点2,5.0,2026-05-29,107.12,96.68,9.7%,123.13,+27.4%,1.3,2.0,3,sz.300373,扬杰科技,7.41,8.89,92.6,399,,,,,2
买点1-W2(缩量),48.1,2026-06-12,39.27,,,44.64,,2.71,,1,sz.300400,劲拓股份,7.1,8.52,96.3,22,+13.7%,0.75,0.32,是,1
买点2,5.0,2026-06-05,134.83,126.5,6.2%,157.89,+24.8%,1.11,1.0,2,sz.300408,三环集团,8.62,10.34,98.7,489,,,,,1
买点1-W3(温和),29.2,2026-06-05,6.07,,,7.49,,3.07,,2,sz.300420,五洋自控,8.33,10.0,92.3,105,+23.4%,1.01,0.3519,是,
买点2,5.0,2026-05-15,49.53,41.48,16.3%,58.69,+41.5%,0.8,4.0,5,sz.300508,维宏股份,6.8,8.16,90.3,94,,,,,1
买点2,5.0,2026-06-05,18.2,17.46,4.1%,18.75,+7.4%,1.07,1.0,2,sz.300560,中富通,7.29,8.75,67.5,1093,,,,,5
买点2,5.0,2026-05-29,35.39,33.65,4.9%,37.05,+10.1%,0.92,2.0,3,sz.300593,新雷能,7.81,9.37,84.6,1196,,,,,4
买点2,5.0,2026-05-29,45.3,40.79,10.0%,49.52,+21.4%,1.17,2.0,3,sz.300602,飞荣达,5.99,7.19,91.1,382,,,,,2
买点2,5.0,2026-05-22,236.02,206.73,12.4%,264.1,+27.8%,0.75,3.0,4,sz.300604,长川科技,6.38,7.66,97.8,357,,,,,1
买点2,5.0,2026-05-22,63.68,58.35,8.4%,68.61,+17.6%,1.46,3.0,4,sz.300613,富瀚微,4.81,5.77,86.7,428,,,,,3
买点1-W2(温和),36.1,2026-06-12,35.89,,,38.8,,2.04,,1,sz.300656,民德电子,8.16,9.79,92.3,212,+8.1%,0.82,0.166,大阴线,2
买点2,5.0,2026-05-29,117.77,107.74,8.5%,132.77,+23.2%,1.11,2.0,3,sz.300661,圣邦股份,6.22,7.46,93.5,381,,,,,2
买点1-W2(温和),35.8,2026-06-12,274.08,,,311.2,,1.95,,1,sz.300666,江丰电子,8.42,10.1,98.6,36,+13.5%,1.06,0.3623,大阴线,1
买点2,5.0,2026-05-15,59.25,51.43,13.2%,63.0,+22.5%,1.18,4.0,5,sz.300689,澄天伟业,5.83,7.0,85.6,231,,,,,3
买点2,5.0,2026-06-05,648.98,600.0,7.5%,666.0,+11.0%,0.98,1.0,2,sz.300757,罗博特科,6.53,7.84,98.2,2339,,,,,5
买点1-W2(缩量),46.9,2026-06-12,20.76,,,21.2,,2.29,,1,sz.300786,国林科技,5.73,6.88,82.7,295,+2.1%,0.71,0.1702,是,3
买点2,5.0,2026-05-22,67.86,64.89,4.4%,73.09,+12.6%,0.83,3.0,4,sz.300820,英杰电气,6.51,7.81,86.9,776,,,,,3
买点2,5.0,2026-05-29,53.29,50.75,4.8%,62.28,+22.7%,1.4,2.0,3,sz.300852,四会富仕,6.09,7.31,90.4,283,,,,,2
买点2,5.0,2026-06-05,121.43,113.0,6.9%,145.75,+29.0%,1.0,1.0,2,sz.300868,杰美特,8.36,10.03,99.7,524,,,,,1
买点1-W2(缩量),47.3,2026-06-12,31.29,,,33.55,,2.44,,1,sz.300985,致远新能,6.95,8.34,91.9,80,+7.2%,0.69,0.2166,是,1
