信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认
买点1-W2(缩量),46.6,2026-04-30,51.16,,,53.15,,2.2,,1,sz.002785,万里石,4.56,5.47,87.6,217,+3.9%,0.79,0.2632,是
买点1-W1(下周一入场),39.6,2026-05-08,24.65,,,24.65,,3.2,,0,sz.002805,丰元股份,5.35,6.42,87.1,69,+0.0%,,0.0788,大阴线
买点1-W1(下周一入场),38.1,2026-05-08,16.04,,,16.04,,2.7,,0,sz.002930,宏川智慧,4.42,5.3,86.3,391,+0.0%,,0.2348,是
买点2,5.0,2026-04-24,83.3,81.27,2.4%,83.44,+2.7%,0.62,1.0,2,sz.002947,恒铭达,5.79,6.95,90.4,566,,,,
买点2,5.0,2026-04-24,115.73,110.38,4.6%,124.45,+12.7%,0.72,1.0,2,sz.002975,博杰股份,6.29,7.55,92.5,202,,,,
买点2,5.0,2026-04-24,54.11,53.83,0.5%,62.75,+16.6%,1.06,1.0,2,sz.002990,盛视科技,8.19,9.83,95.5,61,,,,
买点2,5.0,2026-04-24,127.79,123.52,3.3%,140.07,+13.4%,0.92,1.0,2,sz.003031,中瓷电子,6.04,7.25,97.7,622,,,,
买点2,5.0,2026-04-24,13.7,13.35,2.6%,14.91,+11.7%,1.01,1.0,2,sz.300184,力源信息,4.9,5.88,81.4,427,,,,
买点2,5.0,2026-04-17,12.15,11.63,4.3%,12.88,+10.7%,1.2,2.0,3,sz.300201,海伦哲,3.87,4.64,96.4,808,,,,
买点2,5.0,2026-04-24,5.26,5.11,2.9%,5.51,+7.8%,0.88,1.0,2,sz.300292,吴通控股,4.06,4.87,69.7,868,,,,
买点2,5.0,2026-04-24,101.9,96.8,5.0%,115.2,+19.0%,0.88,1.0,2,sz.300489,光智科技,8.98,10.78,98.3,42,,,,
